author_id,author_name,author_url,crowdsourced_gender,notes_for_other_gender,crowdsourced_race,notes_for_other_race,comment_about_where_the_info_was_found
2618611603,masaki hilaga,https://academic.microsoft.com/author/2618611603/,male,,East Asian,,
1281053966,v a blatov,https://academic.microsoft.com/author/1281053966/,male,,White/European,,https://www.researchgate.net/profile/Vladislav_Blatov
2611021118,jacques melancon,https://academic.microsoft.com/author/2611021118/,male,,White/European,,
1801894112,andreas burkhalter,https://academic.microsoft.com/author/1801894112/,male,,White/European,,http://neurosci.wustl.edu/People/Faculty/andreas-burkhalter
2137000917,avrim blum,https://academic.microsoft.com/author/2137000917/,male,,Hispanic/Latino,,"https://en.wikipedia.org/wiki/Avrim_Blum , Father is from venezuela"
2664161541,s l hakimi,https://academic.microsoft.com/author/2664161541/,male,,Middle Eastern,,http://teografscsj.blogspot.com/2015/02/seifollah-louis-hakimi.html
2533298067,susan conrad,https://academic.microsoft.com/author/2533298067/,female,,White/European,,http://web.pdx.edu/~conrads/cv.pdf
638102273,gary g mittelbach,https://academic.microsoft.com/author/638102273/,male,,White/European,,http://www.kbs.msu.edu/kbs-people/faculty/gary-g-mittelbach/
2859776644,fran m miezin,https://academic.microsoft.com/author/2859776644/,male,,White/European,,
2346754519,mukesh k jain,https://academic.microsoft.com/author/2346754519/,male,,Indian Subcontinet,,https://case.edu/medicine/cvri/people/mukesh-jain
2193269139,somesh jha,https://academic.microsoft.com/author/2193269139/,male,,Indian Subcontinet,,http://pages.cs.wisc.edu/~jha/
677134955,daniel p huttenlocher,https://academic.microsoft.com/author/677134955/,male,,White/European,,https://tech.cornell.edu/people/dan-huttenlocher/
2148743472,hassen saidi,https://academic.microsoft.com/author/2148743472/,male,,Middle Eastern,,http://www.csl.sri.com/users/saidi/
1955817955,edward finegan,https://academic.microsoft.com/author/1955817955/,male,,White/European,,https://gould.usc.edu/faculty/?id=212
2017269535,tom lenaerts,https://academic.microsoft.com/author/2017269535/,male,,White/European,,https://ai.vub.ac.be/team/tom-lenaerts/
1996662195,iris vessey,https://academic.microsoft.com/author/1996662195/,female,,White/European,,
73889060,farzin maghoul,https://academic.microsoft.com/author/73889060/,male,,Middle Eastern,,
1910777624,gianfranco ciani,https://academic.microsoft.com/author/1910777624/,male,,White/European,,
2159410022,federico cecconi,https://academic.microsoft.com/author/2159410022/,male,,White/European,,https://www.istc.cnr.it/en/people/federico-cecconi
2865899529,lawrence rubinstein,https://academic.microsoft.com/author/2865899529/,male,,White/European,,https://brb.nci.nih.gov/aboutBRP/lrubinstein.htm
