author_id,author_name,field_name,gender,race
2137221145,david kempe,social network,male,White/European
2950343322,slaven marusic,social network,male,White/European
1887629390,janos kertesz,social network,male,White/European
2156764872,martin gargiulo,social network,male,White/European
60870194,fredrik liljeros,social network,male,White/European
2161915041,john coleman,social network,male,White/European
2199275230,matthew o jackson,social network,male,White/European
2116515527,per olsson,social network,male,White/European
2261367123,jon kleinberg,social network,male,White/European
630663198,shlomo havlin,social network,male,White/European
2785026101,john scott,social network,male,White/European
2171851496,luis a nunes amaral,social network,male,White/European
2114003991,ralph gross,social network,male,White/European
1785394198,teresa e seeman,social network,female,White/European
2041356507,j bradley layton,social network,male,White/European
2071262509,nicole b ellison,social network,female,White/European
2166132336,massimiliano marcon,social network,male,White/European
2026903385,john hassard,social network,male,White/European
2060843742,alain degenne,social network,male,White/European
2167938217,andrew j edelman,social network,male,White/European
301106008,bent flyvbjerg,social network,male,White/European
2059520746,steven d prager,social network,male,White/European
43551179,stephen p borgatti,social network,male,White/European
2015972736,alan mislove,social network,male,White/European
1966275690,johan koskinen,social network,male,White/European
2140363637,dorothea wagner,social network,female,White/European
2781233234,daniel s halgin,social network,male,White/European
2195478976,albertlaszlo barabasi,social network,male,White/European
1983756286,bryan perozzi,social network,male,White/European
1644299099,j j hyvonen,social network,male,White/European
1964600927,henrich r greve,social network,male,White/European
2235985702,joseph galaskiewicz,social network,male,White/European
967816195,ian brissette,social network,male,White/European
2227171322,michelle girvan,social network,female,White/European
2126599289,andreas m kaplan,social network,male,White/European
2012842650,ellen bratslavsky,social network,female,White/European
2343374067,bernardo a huberman,social network,male,White/European
720924201,nicholas a christakis,social network,male,White/European
2139330692,james h fowler,social network,male,White/European
2146726778,richard n cardozo,social network,male,White/European
2251891803,ignasi marti,social network,male,White/European
2026323400,ronald rousseau,social network,male,White/European
1976666824,fabricio benevenuto,social network,male,White/European
2083426550,fabien jourdan,social network,male,White/European
2096207090,lars backstrom,social network,male,White/European
25748148,romualdo pastorsatorras,social network,male,White/European
1954994128,roger guimera,social network,male,White/European
2127714412,james s waters,social network,male,White/European
2303511158,giuseppe labianca,social network,male,White/European
2130548382,jasmine novak,social network,female,White/European
2169727520,jon norberg,social network,male,White/European
2141358683,gyorgy szabo,social network,male,White/European
652370045,alejandro portes,social network,male,White/European
2087193645,michael woolcock,social network,male,White/European
119633740,julianne holtlunstad,social network,female,White/European
1914371560,daniel j brass,social network,male,White/European
233060415,alessandro acquisti,social network,male,White/European
2138507242,miller mcpherson,social network,male,White/European
2764735131,john law,social network,male,White/European
2101313979,yvonne aberg,social network,female,White/European
155792420,catrin finkenauer,social network,female,White/European
2308500502,christofer edling,social network,male,White/European
2144042109,yvonne rogers,social network,female,White/European
2056846416,mark granovetter,social network,male,White/European
1878631932,jure leskovec,social network,male,White/European
2140027952,morten t hansen,social network,male,White/European
2567533895,gabor fath,social network,male,White/European
2105050551,jenny preece,social network,female,White/European
2601842890,jennifer e smith,social network,female,White/European
2058920214,elizabeth a hobson,social network,female,White/European
2157809153,alex arenas,social network,male,White/European
2779549002,gabor szabo,social network,male,White/European
2098528998,david auber,social network,male,White/European
2327678571,chris cooper,social network,male,White/European
2015983224,alexandre a ardichvili,social network,male,White/European
2073090198,thomas hahn,social network,male,White/European
647108882,matthieu latapy,social network,male,White/European
2035405562,albert diazguilera,social network,male,White/European
2122189410,santo fortunato,social network,male,White/European
74792332,bostjan antoncic,social network,male,White/European
2097180423,roy f baumeister,social network,male,White/European
2321730078,steven sampson,social network,male,White/European
670945504,kathleen d vohs,social network,female,White/European
2052013336,mason a porter,social network,male,White/European
2171198665,ronald s burt,social network,male,White/European
234889175,george wittemyer,social network,male,White/European
2012545385,cliff lampe,social network,male,White/European
2082712981,david lazer,social network,male,White/European
2149311860,johanna mair,social network,female,White/European
