author_id,author_name,gender,race
2096153312,han woo park,male,East Asian
2114505317,yong zou,male,East Asian
2435354780,weiwei shen,male,East Asian
1989850375,masahiro kimura,male,East Asian
2785343825,bing liu,male,East Asian
2149631809,thomas s huang,male,East Asian
2558675373,jinhui wang,male,East Asian
2157503142,xiaofei he,male,East Asian
2113438569,erjia yan,male,East Asian
2109621001,raymond t ng,male,East Asian
2169363483,lin xiao,male,East Asian
2097525001,jinde cao,male,East Asian
2974228899,z wu,male,East Asian
2141500565,deng cai,male,East Asian
2122391114,huan liu,male,East Asian
2121939561,jiawei han,male,East Asian
2157848085,wenpin tsai,male,East Asian
2435970296,kwang il goh,male,East Asian
2650521881,jun zhang,male,East Asian
2307857036,chuan yang,male,East Asian
2129474304,zhengyou zhang,male,East Asian
2099465354,daizhan cheng,male,East Asian
2973687317,t kamada,male,East Asian
2107876906,yong he,male,East Asian
2117091029,tomihisa kamada,male,East Asian
2125958825,lin huang,male,East Asian
2067629764,andrew b kahng,male,East Asian
2151409538,donguk hwang,male,East Asian
2152778655,xuerui wang,male,East Asian
2476563404,yingcheng lai,male,East Asian
2394571040,wei ni,male,East Asian
2126330539,jian pei,male,East Asian
294294306,ichiro kawachi,male,East Asian
2646458815,juyong park,male,East Asian
2113869885,xiaodan song,male,East Asian
2105720401,tianping chen,male,East Asian
2117210734,kaizhong zhang,male,East Asian
2167396689,wenlian lu,male,East Asian
2144489198,michio kondoh,male,East Asian
2245702983,nhan phan thien,male,East Asian
2160940721,haixuan yang,male,East Asian
2128666145,chaoming song,male,East Asian
2944661313,tianping chen,male,East Asian
2144833106,shuicheng yan,male,East Asian
2162145093,tiancheng lou,male,East Asian
2152766206,chengxiang zhai,male,East Asian
2422184792,tao zhou,male,East Asian
2109031554,qiang yang,male,East Asian
2168356855,xiang ruan,male,East Asian
2099847228,benyu zhang,male,East Asian
2107003637,hongjiang zhang,male,East Asian
2153123546,juyong lee,male,East Asian
2157132620,jianxi gao,male,East Asian
2228415632,changsong zhou,male,East Asian
2141813676,lei tang,male,East Asian
2043434265,takao sasaki,male,East Asian
2110250596,jinhu lu,male,East Asian
2515242805,zhongkui li,male,East Asian
2142158836,rowland r kao,male,East Asian
2111286164,bengchong lim,male,East Asian
2146161571,chang no yoon,male,East Asian
1980401443,thomas y choi,male,East Asian
2422903718,kingsun fu,male,East Asian
2715558004,yang wang,male,East Asian
2656995071,hao ma,male,East Asian
2121363826,irwin king,male,East Asian
2160651145,yicheng zhang,male,East Asian
2191051789,duanbing chen,male,East Asian
2421657768,jun dong,male,East Asian
2226227572,xiaofan wang,male,East Asian
2500116311,curtis w chen,male,East Asian
2619396113,lihe zhang,male,East Asian
2104171312,zidong wang,male,East Asian
2166036605,qiaozhu mei,male,East Asian
2168527748,huchuan lu,male,East Asian
2167032303,stephen lin,male,East Asian
2610664851,nan lin,male,East Asian
2105834143,wenwu yu,male,East Asian
2132063513,haewoon kwak,male,East Asian
2225791946,xiaoyu hu,male,East Asian
2174244324,wanqing li,male,East Asian
2584951063,junan lu,male,East Asian
2485322213,ray reagans,male,Black/African
114899309,qawi k telesford,male,Black/African
2527178654,c brandon ogbunugafor,male,Black/African
2617375404,mohsen jamali,male,Middle Eastern
47978243,zohreh nazeri,male,Middle Eastern
1994589778,tolga eren,male,Middle Eastern
368345771,nadav kashtan,male,Middle Eastern
472570005,iyad rahwan,male,Middle Eastern
1970575723,moshe y vardi,male,Middle Eastern
131739572,babak pourbohloul,male,Middle Eastern
73721942,rami alrfou,male,Middle Eastern
341001588,reza olfatisaber,male,Middle Eastern
2014033501,sasha a barab,male,Middle Eastern
1973366468,reuven aviv,male,Middle Eastern
2131580547,alireza abbasi,male,Middle Eastern
2973617478,y saad,male,Middle Eastern
2003989378,liaquat hossain,male,Middle Eastern
1862760335,bijan parsia,male,Middle Eastern
254511066,murat arcak,male,Middle Eastern
2305277957,eytan adar,male,Middle Eastern
2337605511,mohammad amin shokrollahi,male,Middle Eastern
202235199,kousha etessami,male,Middle Eastern
1969841945,reza olfati saber,male,Middle Eastern
2133433785,muhammed a yildirim,male,Middle Eastern
341688178,ali jadbabaie,male,Middle Eastern
2040103212,ramin zabih,male,Middle Eastern
